id,host_id,latitude,longitude,neighbourhood_cleansed,property_type,room_type,price,accommodates,bedrooms,amenities,bathrooms,beds,review_scores_rating,accommodates_per_bedroom,accommodates_per_bed,price_per_accommodate,number_of_reviews,availability_30,availability_60,availability_90,availability_365
1086704713867208506,556392476,52.38424099954376,4.894368719932634,Centrum-West,Boat,Entire home/apt,209,4,2.0,"[""Dishes and silverware"", ""Shower gel"", ""Coffee"", ""Boat slip"", ""Body soap"", ""Dedicated workspace"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Hot water"", ""Waterfront"", ""Smoke alarm"", ""Cleaning products"", ""Free resort access"", ""Clothing storage: closet"", ""Mini fridge"", ""Microwave"", ""Refrigerator"", ""Wine glasses"", ""Lake access"", ""Single level home"", ""Coffee maker: Nespresso"", ""Electric stove"", ""Oven"", ""Luggage dropoff allowed"", ""Keypad"", ""Self check-in"", ""Wifi"", ""Cleaning available during stay"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""Paid parking garage off premises"", ""Heating"", ""Long term stays allowed"", ""Freezer"", ""Laundromat nearby"", ""First aid kit"", ""Fire extinguisher"", ""Private entrance"", ""Kitchen"", ""Bed linens""]",1.0,3.0,4.5,2.0,1.3333333333333333,52.25,24,12,36,36,36
30551730,33755999,52.3544,4.88679,De Pijp - Rivierenbuurt,Private room in condo,Private room,321,4,2.0,"[""Dishes and silverware"", ""Toaster"", ""Paid parking on premises"", ""Shower gel"", ""Outlet covers"", ""Free washer \u2013 In unit"", ""Coffee"", ""Smoking allowed"", ""Body soap"", ""Portable fans"", ""Dedicated workspace"", ""Pets allowed"", ""Coffee maker"", ""Paid parking off premises"", ""Cooking basics"", ""Carbon monoxide alarm"", ""First aid kit"", ""Hot water"", ""Fast wifi \u2013 435 Mbps"", ""Pocket wifi"", ""Smoke alarm"", ""Lockbox"", ""Iron"", ""55 inch HDTV with Apple TV, Netflix, Amazon Prime Video, HBO Max, Disney+"", ""Cleaning products"", ""Blender"", ""Ethernet connection"", ""Microwave"", ""Refrigerator"", ""Hammock"", ""Wine glasses"", ""Extra pillows and blankets"", ""Clothing storage: closet and wardrobe"", ""Housekeeping - included with your stay"", ""Oven"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Self check-in"", ""Conditioner"", ""Dishwasher"", ""Hot water kettle"", ""Induction stove"", ""Hangers"", ""Essentials"", ""Pack \u2019n play/Travel crib - available upon request"", ""Heating"", ""Long term stays allowed"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Shampoo"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens"", ""Baking sheet""]",1.0,3.0,4.95,2.0,1.3333333333333333,80.25,210,11,34,64,235
1204529963490988382,224030754,52.37595885982629,4.843579498223195,Bos en Lommer,Entire rental unit,Entire home/apt,149,4,1.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Washer"", ""Exterior security cameras on property"", ""Wifi"", ""Kitchen""]",1.0,1.0,5.0,4.0,4.0,37.25,1,12,23,47,47
52434885,424408172,52.36625,4.88654,Centrum-West,Private room in bed and breakfast,Private room,165,2,1.0,"[""Smoke alarm"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door""]",1.0,2.0,4.84,2.0,1.0,82.5,45,5,15,44,289
653579060497535362,28541859,52.37132,4.84947,De Baarsjes - Oud-West,Entire condo,Entire home/apt,275,2,1.0,"[""Dishes and silverware"", ""Toaster"", ""Coffee"", ""Barbecue utensils"", ""Central heating"", ""Washer"", ""Dedicated workspace"", ""Private patio or balcony"", ""Outdoor furniture"", ""AEG induction stove"", ""Cooking basics"", ""BBQ grill"", ""Hot water"", ""Iron"", ""Drying rack for clothing"", ""Cleaning products"", ""Blender"", ""65 inch HDTV with Apple TV, Chromecast, Amazon Prime Video, Netflix, Disney+"", ""Microwave"", ""Wine glasses"", ""Coffee maker: Nespresso"", ""Paid street parking off premises"", ""Game console: PS4"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""AEG refrigerator"", ""Wifi"", ""Dishwasher"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Hangers"", ""Dining table"", ""Essentials"", ""Books and reading material"", ""AEG stainless steel oven"", ""Board games"", ""Outdoor dining area"", ""Freezer"", ""Room-darkening shades"", ""Kitchen"", ""Bed linens""]",2.0,2.0,5.0,2.0,1.0,137.5,11,1,1,1,17
42801703,340915276,52.37493,4.88893,Centrum-West,Private room in bed and breakfast,Private room,400,2,1.0,"[""Smoke alarm"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""TV"", ""Coffee maker"", ""Hair dryer"", ""Paid parking off premises"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Fire extinguisher"", ""Lock on bedroom door""]",1.0,1.0,5.0,2.0,2.0,200.0,77,0,12,39,39
50452369,407017762,52.35896,4.80313,Osdorp,Room in hotel,Private room,147,4,1.0,"[""Air conditioning"", ""Smoke alarm"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Free parking on premises"", ""Hair dryer"", ""Building staff"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher""]",1.0,2.0,4.63,4.0,2.0,36.75,370,15,33,61,334
1061702854668751102,145230336,52.36295745813845,4.857848079422428,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,170,2,1.0,"[""Smoke alarm"", ""Books and reading material"", ""Washer"", ""Heating"", ""Dedicated workspace"", ""TV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix, premium cable"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Hot water""]",1.0,1.0,4.934,2.0,2.0,85.0,0,7,28,58,214
888016739156396885,311321908,52.36872255147248,4.880301816825184,Centrum-West,Room in hotel,Private room,194,2,1.0,"[""Paid parking on premises"", ""Body soap"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Pocket wifi"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Safe"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Elevator"", ""EV charger"", ""Wifi"", ""Cleaning available during stay"", ""Air conditioning"", ""Hangers"", ""Essentials"", ""Heating"", ""TV"", ""First aid kit"", ""Shampoo"", ""Fire extinguisher"", ""High chair"", ""Bed linens""]",1.0,1.0,4.58,2.0,2.0,97.0,38,25,55,85,360
46346561,375106479,52.37043,4.8902,Centrum-West,Private room in rental unit,Private room,48,2,0.0,"[""Essentials"", ""Iron"", ""Heating"", ""TV"", ""Hair dryer"", ""Refrigerator"", ""Wifi""]",1.0,1.0,4.13,inf,2.0,24.0,24,13,43,73,344
838847945337625366,503641913,52.370099932928255,4.884471070952385,Centrum-West,Private room in rental unit,Private room,163,2,1.0,"[""Dishes and silverware"", ""Hot water kettle"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Window guards"", ""Lockbox"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Self check-in"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Kitchen"", ""Hot water""]",1.0,1.0,4.62,2.0,2.0,81.5,113,2,7,31,129
1024673342112858583,55631056,52.363507,4.8772364,De Baarsjes - Oud-West,Private room in condo,Private room,111,2,1.0,"[""Iron"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Fire extinguisher"", ""Kitchen""]",0.5,1.0,5.0,2.0,2.0,55.5,5,0,15,15,15
1139773530720069052,9597299,52.3691772,4.8687283,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,198,2,1.0,"[""Dishes and silverware"", ""Toaster"", ""Paid parking on premises"", ""Central heating"", ""Washer"", ""Private patio or balcony"", ""Cooking basics"", ""Hot water"", ""Smoke alarm"", ""Bosch refrigerator"", ""Cleaning products"", ""Blender"", ""Clothing storage: closet"", ""Wine glasses"", ""Bathtub"", ""Extra pillows and blankets"", ""Coffee maker: Nespresso"", ""Electric stove"", ""Exercise equipment"", ""Hair dryer"", ""Wifi"", ""Game console: Nintendo Switch"", ""Dryer"", ""Dishwasher"", ""Hot water kettle"", ""Hangers"", ""Essentials"", ""TV"", ""Freezer"", ""Fire extinguisher"", ""Kitchen"", ""Bed linens""]",1.0,0.0,4.934,2.0,inf,99.0,0,0,0,0,122
16084127,28289832,52.36227035522461,4.876715183258057,De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,438,4,2.0,"[""Crib - available upon request"", ""Dishes and silverware"", ""Coffee maker: espresso machine, Nespresso"", ""Shower gel"", ""Coffee"", ""Body soap"", ""Central heating"", ""Private living room"", ""Portable fans"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Hot water"", ""Smoke alarm"", ""Marie Stella Maris shampoo"", ""Iron"", ""Cleaning products"", ""Clothing storage: closet"", ""Mini fridge"", ""Refrigerator"", ""Extra pillows and blankets"", ""Ceiling fan"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Bikes"", ""Keypad"", ""Self check-in"", ""Wifi"", ""Hot water kettle"", ""Hangers"", ""Dining table"", ""Essentials"", ""HDTV with standard cable"", ""Books and reading material"", ""Freezer"", ""Laundromat nearby"", ""Room-darkening shades"", ""Fire extinguisher"", ""Private entrance"", ""Bed linens""]",1.0,4.0,4.92,2.0,1.0,109.5,560,3,18,29,291
